channel,rows,accuracy,macro_f1,weighted_f1,mean_confidence
phone_transcript,2890,0.9366782006920416,0.9378259614879476,0.936695069857574,0.8330220872562315
live_chat,1612,0.9361042183622829,0.9363030060730465,0.9363535871035704,0.8418230177611737
email,1585,0.922397476340694,0.9279701468566397,0.9225707284118645,0.8284560215630585
social,356,0.9269662921348315,0.9279181433202951,0.9270590772346747,0.8119247879148388
app_review,757,0.9273447820343461,0.9194567094173116,0.9270921361483113,0.8174714289031818
